r2_key,classification,import_confidence,camera_hint,clip_id,date,last_modified,size,local_clip_path,thumbnail_path,visual_status,duration_sec,width,height,fps,frame_count,motion_score,db_match,decision,notes
clips/2026/06/17/p4cam-79b5d844/0323b804-9b2e-4a1d-ba94-3c8a235a4e25.mp4,manual_review_clip,low,p4cam-79b5d844,0323b804-9b2e-4a1d-ba94-3c8a235a4e25,2026-06-17,2026-06-17T14:44:03.262000+00:00,1158651,reports/r2-orphan-review-20260710/clips/0323b804-9b2e-4a1d-ba94-3c8a235a4e25.mp4,reports/r2-orphan-review-20260710/thumbnails/0323b804-9b2e-4a1d-ba94-3c8a235a4e25.jpg,openable,10.1,1280,960,8.32,84,,no_match,needs_human_label,legacy path; camera/user mapping uncertain
clips/2026/06/17/p4cam-79b5d844/05f94669-d649-419f-88bd-398b8be62a07.mp4,manual_review_clip,low,p4cam-79b5d844,05f94669-d649-419f-88bd-398b8be62a07,2026-06-17,2026-06-17T14:40:25.746000+00:00,845608,reports/r2-orphan-review-20260710/clips/05f94669-d649-419f-88bd-398b8be62a07.mp4,reports/r2-orphan-review-20260710/thumbnails/05f94669-d649-419f-88bd-398b8be62a07.jpg,openable,10.08,1280,960,8.33,84,0.0327,no_match,needs_human_label,legacy path; camera/user mapping uncertain
clips/2026/06/17/p4cam-79b5d844/2890aeec-838c-47a6-a80c-9d757a8b98a4.mp4,manual_review_clip,low,p4cam-79b5d844,2890aeec-838c-47a6-a80c-9d757a8b98a4,2026-06-17,2026-06-17T14:46:43.794000+00:00,1149974,reports/r2-orphan-review-20260710/clips/2890aeec-838c-47a6-a80c-9d757a8b98a4.mp4,reports/r2-orphan-review-20260710/thumbnails/2890aeec-838c-47a6-a80c-9d757a8b98a4.jpg,openable,10.08,1280,960,8.34,84,0.0234,no_match,needs_human_label,legacy path; camera/user mapping uncertain
clips/2026/06/17/p4cam-79b5d844/54c0f064-ca49-4750-b06c-d62b900856c7.mp4,manual_review_clip,low,p4cam-79b5d844,54c0f064-ca49-4750-b06c-d62b900856c7,2026-06-17,2026-06-17T14:41:25.622000+00:00,1238717,reports/r2-orphan-review-20260710/clips/54c0f064-ca49-4750-b06c-d62b900856c7.mp4,reports/r2-orphan-review-20260710/thumbnails/54c0f064-ca49-4750-b06c-d62b900856c7.jpg,openable,10.08,1280,960,8.33,84,0.1582,no_match,needs_human_label,legacy path; camera/user mapping uncertain
